id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct;enable
1;Lola;Rogahn;Lily.Kihn75@yahoo.com;repurpose withdrawal;2022-11-18T17:24:15;71697;45464;15435
2;Lynn;Buckridge;Emmet16@yahoo.com;interfaces override;2022-11-18T03:27:33;8020;783;27282
3;Laisha;Glover;Augustine_Kshlerin71@gmail.com;Account Garden;2022-11-18T11:50:47;47489;37739;18713
4;Otilia;Hintz;Antonina_Turner@gmail.com;synergy Albania;2022-11-18T10:34:52;80529;94809;56135
5;Brando;Kulas;Brannon.Collier@yahoo.com;pink;2022-11-18T00:35:05;18581;73893;65341
6;Kaela;Kihn;Erwin_Will64@yahoo.com;Decentralized;2022-11-18T10:30:29;95498;15970;72993
7;Harold;Gerlach;Trever_Hilll65@gmail.com;Expressway infrastructures;2022-11-18T23:30:10;8893;52896;63673
8;Johann;Willms;Dejon3@yahoo.com;Uruguayo;2022-11-18T13:12:26;16398;79591;63761
9;Yasmine;Dach;Dean_Deckow@gmail.com;Shoes Concrete 1080p;2022-11-18T11:50:26;24828;43072;77006
10;Kendall;Barton;Laurence90@yahoo.com;Rustic;2022-11-18T17:54:50;65131;40375;18500
